x,y
2417,901
2402,898
2386,897
2374,896
2358,1148
2345,1145
2331,1143
2318,1141
2305,1140
2039,1137
2027,1138
2011,1136
1998,1132
1982,1131
1968,1129
1951,1127
1934,1124
2174,1123
2155,1119
2136,1119
2118,1116
2096,1113
2076,1110
2066,1109
2054,1106
1784,1102
1770,1103
1759,1100
1760,1102
1762,1101
1764,1101
1764,1100
1765,1100
1767,1102
1771,1102
1776,1102
1777,1102
1779,1103
1780,1100
1781,1103
1784,1103
1785,1102
1785,1103
1784,1102
1785,1103
1785,1103
1785,1103
1787,1103
1787,1103
1787,1103
1788,1103
1788,1103
1787,1105
1786,1103
1788,1103
1774,1105
1740,1111
1709,1116
1678,1119
1914,1121
1903,1123
1897,1123
1897,1125
1895,1123
1896,1124
1896,1124
1900,1124
1899,1124
1897,1125
1895,1124
1891,1124
1890,1122
1888,1122
1888,1120
1888,1123
1886,1121
1887,1122
1885,1120
1886,1121
1884,1121
1886,1120
1886,1122
1884,1120
1885,1121
1886,1121
1884,1121
1886,1119
1885,1122
1886,1120
1884,1120
1886,1120
1887,1121
1884,1121
1883,1121
1883,1120
1884,1121
1884,1121
1884,1121
1884,1120
1884,1121
1884,1120
1882,1120
1883,1121
1881,1120
1882,1121
1882,1122
1881,1120
1881,1123
1876,1120
1865,1123
1854,1124
1845,1126
1841,1128
1833,1127
1823,1130
1813,1130
1800,1132
1532,1136
1527,1135
1525,1135
1524,1135
1523,1137
1522,1137
1521,1136
1513,1136
1505,1139
1492,1141
1476,1142
1461,1144
1447,1147
1430,1149
1416,897
1657,897
1645,901
1632,906
1617,906
1602,908
1585,911
1567,916
1550,919
1277,926
1264,930
1251,932
1238,936
1228,940
1218,942
1208,945
1200,947
1191,950
1181,952
1172,956
1159,957
1403,962
1388,965
1376,969
1367,974
1356,975
1348,980
1336,984
1326,992
1313,996
1300,1007
1289,1015
1284,1018
1283,1023
1280,1280
1021,1283
1020,1285
1020,1284
1016,1288
1011,1294
1001,1302
991,1312
979,1322
969,1334
960,1344
951,1355
952,1356
952,1356
952,1356
950,1357
951,1355
952,1356
950,1356
950,1358
952,1358
950,1356
951,1359
951,1356
951,1357
951,1358
950,1356
951,1359
950,1359
951,1358
949,1358
951,1358
949,1359
951,1359
948,1356
951,1358
948,1359
948,1358
949,1359
949,1358
950,1359
949,1358
950,1358
948,1361
950,1360
950,1359
950,1361
948,1363
948,1363
947,1364
945,1373
942,1386
938,1398
935,1152
932,1163
930,1167
927,1176
924,1186
920,1195
916,1209
911,1224
904,1239
899,1255
1151,1264
1147,1276
1141,1547
1138,1561
1132,1572
1129,1580
1127,1584
1127,1585
1128,1587
1126,1588
1124,1588
1127,1589
1127,1590
1127,1591
1125,1591
1125,1596
1120,1607
1119,1613
1117,1615
1114,1625
1112,1635
1108,1644
1108,1651
1105,1655
1103,1662
1102,1415
1096,1431
1094,1443
1090,1449
1088,1464
1084,1477
1081,1486
1080,1497
1077,1507
1073,1514
1072,1521
1068,1533
1063,1801
1063,1810
1060,1819
1058,1829
1057,1831
1057,1834
1057,1833
1056,1833
1057,1836
1055,1837
1057,1842
1053,1848
1054,1856
1052,1859
1049,1865
1049,1871
1048,1879
1046,1885
1044,1896
1040,1918
1037,1673
1033,1685
1031,1706
1025,1726
764,1742
761,1742
761,1718
758,1706
756
